epoch,dice_class0,dice_class1,dice_class2,dice_mean
1,0.985144853591919,0.8852596282958984,0.8438165187835693,0.9047403335571289
2,0.9910417199134827,0.9023428559303284,0.8554739356040955,0.9162861704826355
3,0.990425705909729,0.8738247156143188,0.7710382342338562,0.8784295916557312
4,0.9913924932479858,0.9031522274017334,0.8588005304336548,0.9177817702293396
5,0.992048442363739,0.9146365523338318,0.876532256603241,0.9277390837669373
6,0.9901903867721558,0.9124268889427185,0.876524031162262,0.9263803958892822
7,0.9906022548675537,0.9168407917022705,0.8811752200126648,0.9295394420623779
8,0.9924963116645813,0.9182097315788269,0.8785203099250793,0.9297420978546143
9,0.9923596382141113,0.9188482761383057,0.8782505393028259,0.9298195242881775
10,0.9925192594528198,0.9195960760116577,0.8898296356201172,0.9339816570281982
11,0.9904740452766418,0.9049169421195984,0.8626433610916138,0.9193447232246399
12,0.9925824999809265,0.9259021282196045,0.8900588750839233,0.9361812472343445
13,0.993249773979187,0.93007892370224,0.9017934203147888,0.9417073726654053
14,0.992782711982727,0.9286368489265442,0.8924979567527771,0.9379725456237793
15,0.992455244064331,0.9238007068634033,0.8885645866394043,0.9349401593208313
16,0.9923705458641052,0.9339384436607361,0.9078047871589661,0.9447045922279358
17,0.9936963319778442,0.937883198261261,0.9132090210914612,0.9482628703117371
18,0.9937325716018677,0.9380350112915039,0.9152826070785522,0.9490167498588562
19,0.992624044418335,0.9353486895561218,0.9060713052749634,0.9446813464164734
20,0.9937183856964111,0.9427715539932251,0.9233440160751343,0.9532780051231384
